time,rank,symbol,name,price,chg,chg_pct,open,prev,volume,amount
11:10,30,4919,新唐,342.0,16.5,5.07,342.0,325.5,55302,188.6883
11:10,31,3042,晶技,100.75,1.5,0.45,101.8,100.3,55095,55.6383
11:10,32,00891,中信關鍵半導體,10.74,0.16,1.13,10.78,10.62,54499,5.8338
11:10,33,2367,燿華,147.0,11.5,8.49,147.0,135.5,50774,71.7175
11:10,34,2317,鴻海,110.0,6.0,1.85,114.0,108.0,50144,55.8230
11:10,35,00929,復華台灣科技優息,237.5,17.5,6.03,241.5,224.0,50135,117.0369
11:10,36,4906,正文,19.26,0.39,1.05,19.45,19.06,48037,9.2566
11:10,37,3189,景碩,29.65,0.35,0.58,29.83,29.48,47459,14.0689
11:10,38,3576,聯合再生,23.96,0.38,1.10,24.08,23.7,43969,10.5197
11:10,39,2484,希華,214.5,24.0,4.13,230.0,206.0,41637,91.0014
11:10,40,6443,元晶,198.5,30.0,9.07,212.0,182.0,41537,83.0993
11:10,41,00940,元大台灣價值高息,260.5,17.5,7.20,260.5,243.0,40790,104.7638
11:10,42,8150,南茂,35.21,0.64,0.83,35.56,34.92,40503,14.2858
11:10,43,8110,華東,10.64,0.17,0.47,10.76,10.59,39278,4.1877
11:10,44,0056,元大高股息,66.5,4.1,0.61,70.2,66.1,37496,25.3141
11:10,45,3149,正達,258.5,6.5,0.58,263.5,257.0,37106,96.5418
11:10,46,4927,泰鼎-KY,100.5,5.8,6.12,100.5,94.7,35690,35.0494
11:10,47,9105,泰金寶-DR,29.23,0.49,0.90,29.46,28.97,34993,10.2434
11:10,48,2618,長榮航,43.0,2.45,2.38,44.45,42.0,34231,14.6687
11:10,49,1513,中興電,14.59,0.28,0.90,14.74,14.46,34135,4.9892
11:10,50,3711,日月光投控,683.0,53.0,4.43,707.0,654.0,33947,230.9382
11:10,51,2883,凱基金,18.9,1.9,0.27,20.75,18.85,33693,6.6386
11:10,52,1605,華新,53.1,6.0,5.36,56.4,50.4,32981,17.7313
11:10,53,2014,中鴻,42.65,3.4,0.83,45.7,42.3,32927,14.4350
11:10,54,2880,華南金,11.77,0.1,0.26,11.84,11.74,32899,3.8798
11:10,55,3673,TPK-KY,87.1,4.3,3.94,88.1,83.8,32746,28.3112
11:10,56,4526,東台,21.6,0.55,1.89,21.75,21.2,32376,6.9465
11:10,57,4958,臻鼎-KY,54.8,5.0,9.38,55.1,50.1,31301,16.5941
11:10,58,2027,大成鋼,48.44,0.64,0.60,48.79,48.15,30981,15.0114
11:10,59,3714,富采,19.26,0.4,0.78,19.51,19.11,30832,5.9482
11:10,60,2382,廣達,66.1,6.1,6.96,67.9,61.8,29687,19.1972
11:10,61,3231,緯創,60.5,6.2,1.34,65.9,59.7,29048,18.1605
11:10,62,2485,兆赫,8.16,0.0,0.00,8.16,8.16,28888,2.3573
11:10,63,1402,遠東新,35.7,0.6,0.71,36.05,35.45,28026,10.0217
11:10,64,2610,華航,165.5,8.0,0.91,172.0,164.0,27718,46.5035
11:10,65,2891,中信金,609.0,46.0,3.22,636.0,590.0,27269,166.5194
11:10,66,2882,國泰金,14.73,0.02,0.07,14.74,14.72,27100,3.9915
11:10,67,2884,玉山金,21.75,0.25,0.93,21.8,21.55,27010,5.8610
11:10,68,2890,永豐金,37.25,1.25,0.54,38.3,37.05,26160,9.8144
11:10,69,2441,超豐,18.6,1.35,1.92,19.6,18.25,25677,4.8711
11:10,70,1717,長興,31.25,0.6,1.30,31.45,30.85,25626,7.9744
11:10,71,3037,欣興,87.4,2.2,2.58,87.4,85.2,24564,21.4020
11:10,72,2377,微星,44.35,3.9,9.64,44.35,40.45,24547,10.5074
11:10,73,1101,台泥,526.0,23.0,1.94,539.0,516.0,24200,127.9421
11:10,74,2402,毅嘉,41.85,3.25,0.84,44.75,41.5,23790,10.1166
11:10,1,3481,群創,45.8,6.95,1.22,52.2,45.25,1118000,540.7580
11:10,2,2409,友達,22.05,3.8,0.23,25.8,22.0,736700,169.9334
11:10,3,6116,彩晶,10.6,0.28,1.15,10.76,10.48,439719,46.6133
11:10,4,2344,華邦電,13.7,0.85,1.86,14.3,13.45,391456,55.2018
11:10,5,6770,力積電,141.0,8.0,6.02,141.0,133.0,282778,392.7234
11:10,6,1802,台玻,71.0,5.6,4.41,73.6,68.0,279525,198.7014
11:10,7,2002,中鋼,75.4,7.9,2.86,81.2,73.3,253832,198.0703
11:10,8,2303,聯電,31.48,0.79,1.22,31.89,31.1,212132,66.8653
11:10,9,2324,仁寶,20.1,1.05,0.75,21.0,19.95,202233,41.3598
11:10,10,2312,金寶,130.5,5.5,1.95,133.5,128.0,193122,252.9576
11:10,11,2356,英業達,33.25,3.15,1.37,35.95,32.8,181403,62.0348
11:10,12,009816,凱基台灣TOP50,38.95,1.75,1.83,40.0,38.25,169215,66.8144
11:10,13,2408,南亞科,62.2,7.7,0.65,69.5,61.8,138431,89.3156
11:10,14,2337,旺宏,34.37,1.01,0.53,35.2,34.19,126623,43.8808
11:10,15,2489,瑞軒,14.79,0.22,0.54,14.93,14.71,117714,17.4479
11:10,16,2353,宏碁,305.5,18.5,3.38,314.0,295.5,110055,335.3935
11:10,17,00919,群益台灣精選高息,160.0,11.0,5.96,162.0,151.0,109853,173.1034
11:10,18,1303,南亞,51.2,6.8,0.59,57.7,50.9,103490,54.9853
11:10,19,2449,京元電子,31.6,3.05,1.28,34.25,31.2,94021,30.3073
11:10,20,6282,康舒,27.96,0.28,0.76,28.03,27.75,81686,22.7914
11:10,21,2887,台新新光金,90.7,6.6,3.30,94.4,87.8,79815,73.1317
11:10,22,2881,富邦金,21.85,0.61,1.63,22.11,21.5,79125,17.2849
